,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ANALYSIS OF COMPRESSION MEMBERS,,,,,,,,,DESIGN OF COMPRESSION MEMBERS,,,,,,,,,,,,,,,,,,REF,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,A,d,ddet,bf,bfdet,tw,twdet,twdet/2,tf,tfdet,kdes,kdet,k1,bf/2tf,h/tw,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,Wno,rts,ho,Qw,,,PA,PB,PC,PD,T,WGi,WGo,EDI_Std_Nomenclature,AISC_Manual_Label,W,A,d,ddet,bf,bfdet,tw,twdet,twdet/2,tf,tfdet,kdes,kdet,k1,bf/2tf,h/tw,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,Wno,Sw1,Qf,Qw,rts,ho,PA,PB,PC,PD,T,WGi,WGo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,918,2L10X10X1X3/4,2L10X10X1X3/4,–,129,38.0,10.0,–,–,–,–,–,–,–,–,–,–,–,–,–,354,90.0,49.6,3.05,752,123,72.5,4.45,–,–,–,–,–,–,,,–,–,–,–,–,–,–,2L254X254X25.4X19,2L254X254X25.4X19,192,24500,254,–,–,–,–,–,–,–,–,–,–,–,–,–,147,1480,813,77.5,313,2020,1190,113,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,919,2L10X10X1X1-1/2,2L10X10X1X1-1/2,–,129,38.0,10.0,–,–,–,–,–,–,–,–,–,–,–,–,–,354,90.0,49.6,3.05,849,137,79.0,4.73,–,–,–,–,–,–,,,–,–,–,–,–,–,–,2L254X254X25.4X38,2L254X254X25.4X38,192,24500,254,–,–,–,–,–,–,–,–,–,–,–,–,–,147,1480,813,77.5,353,2250,1290,120,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,920,2L10X10X7/8,2L10X10X7/8,–,114,33.6,10.0,–,–,–,–,–,–,–,–,–,–,–,–,–,316,79.8,43.8,3.07,579,94.1,57.9,4.15,–,–,–,–,–,–,,,–,–,–,–,–,–,–,2L254X254X22.2,2L254X254X22.2,170,21700,254,–,–,–,–,–,–,–,–,–,–,–,–,–,132,1310,718,78.0,241,1540,949,105,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,921,2L10X10X7/8X3/4,2L10X10X7/8X3/4,–,114,33.6,10.0,–,–,–,–,–,–,–,–,–,–,–,–,–,316,79.8,43.8,3.07,655,107,63.1,4.42,–,–,–,–,–,–,,,–,–,–,–,–,–,–,2L254X254X22.2X19,2L254X254X22.2X19,170,21700,254,–,–,–,–,–,–,–,–,–,–,–,–,–,132,1310,718,78.0,273,1750,1030,112,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,922,2L10X10X7/8X1-1/2,2L10X10X7/8X1-1/2,–,114,33.6,10.0,–,–,–,–,–,–,–,–,–,–,–,–,–,316,79.8,43.8,3.07,739,119,68.7,4.69,–,–,–,–,–,–,,,–,–,–,–,–,–,–,2L254X254X22.2X38,2L254X254X22.2X38,170,21700,254,–,–,–,–,–,–,–,–,–,–,–,–,–,132,1310,718,78.0,308,1950,1130,119,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,923,2L10X10X3/4,2L10X10X3/4,–,98.2,29.0,10.0,–,–,–,–,–,–,–,–,–,–,–,–,–,278,69.2,38.4,3.10,499,80.0,49.9,4.15,–,–,–,–,–,–,,,–,–,–,–,–,–,–,2L254X254X19,2L254X254X19,146,18700,254,–,–,–,–,–,–,–,–,–,–,–,–,–,116,1130,629,78.7,208,1310,818,105,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,924,2L10X10X3/4X3/4,2L10X10X3/4X3/4,–,98.2,29.0,10.0,–,–,–,–,–,–,–,–,–,–,–,–,–,278,69.2,38.4,3.10,563,90.9,54.3,4.41,–,–,–,–,–,–,,,–,–,–,–,–,–,–,2L254X254X19X19,2L254X254X19X19,146,18700,254,–,–,–,–,–,–,–,–,–,–,–,–,–,116,1130,629,78.7,234,1490,890,112,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,925,2L10X10X3/4X1-1/2,2L10X10X3/4X1-1/2,–,98.2,29.0,10.0,–,–,–,–,–,–,–,–,–,–,–,–,–,278,69.2,38.4,3.10,635,102,59.1,4.68,–,–,–,–,–,–,,,–,–,–,–,–,–,–,2L254X254X19X38,2L254X254X19X38,146,18700,254,–,–,–,–,–,–,–,–,–,–,–,–,–,116,1130,629,78.7,264,1670,969,119,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,926,2L8X8X1-1/8,2L8X8X1-1/8,–,114,33.6,8.00,–,–,–,–,–,–,–,–,–,–,–,–,–,196,63.2,35.0,2.41,391,80.6,48.9,3.41,–,–,–,–,–,–,,,–,–,–,–,–,–,–,2L203X203X28.6,2L203X203X28.6,169,21700,203,–,–,–,–,–,–,–,–,–,–,–,–,–,81.6,1040,574,61.2,163,1320,801,86.6,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,927,2L8X8X1-1/8X3/8,2L8X8X1-1/8X3/8,–,114,33.6,8.00,–,–,–,–,–,–,–,–,–,–,–,–,–,196,63.2,35.0,2.41,421,86.9,51.4,3.54,–,–,–,–,–,–,,,–,–,–,–,–,–,–,2L203X203X28.6X9,2L203X203X28.6X9,169,21700,203,–,–,–,–,–,–,–,–,–,–,–,–,–,81.6,1040,574,61.2,175,1420,842,89.9,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,928,2L8X8X1-1/8X3/4,2L8X8X1-1/8X3/4,–,114,33.6,8.00,–,–,–,–,–,–,–,–,–,–,–,–,–,196,63.2,35.0,2.41,455,93.2,54.3,3.68,–,–,–,–,–,–,,,–,–,–,–,–,–,–,2L203X203X28.6X19,2L203X203X28.6X19,169,21700,203,–,–,–,–,–,–,–,–,–,–,–,–,–,81.6,1040,574,61.2,189,1530,890,93.5,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,929,2L8X8X1,2L8X8X1,–,102,30.2,8.00,–,–,–,–,–,–,–,–,–,–,–,–,–,178,57.0,31.6,2.43,347,71.3,43.4,3.39,–,–,–,–,–,–,,,–,–,–,–,–,–,–,2L203X203X25.4,2L203X203X25.4,152,19500,203,–,–,–,–,–,–,–,–,–,–,–,–,–,74.1,934,518,61.7,144,1170,711,86.1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,930,2L8X8X1X3/8,2L8X8X1X3/8,–,102,30.2,8.00,–,–,–,–,–,–,–,–,–,–,–,–,–,178,57.0,31.6,2.43,374,76.9,45.7,3.52,–,–,–,–,–,–,,,–,–,–,–,–,–,–,2L203X203X25.4X9,2L203X203X25.4X9,152,19500,203,–,–,–,–,–,–,–,–,–,–,–,–,–,74.1,934,518,61.7,156,1260,749,89.4,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,931,2L8X8X1X3/4,2L8X8X1X3/4,–,102,30.2,8.00,–,–,–,–,–,–,–,–,–,–,–,–,–,178,57.0,31.6,2.43,405,82.6,48.4,3.66,–,–,–,–,–,–,,,–,–,–,–,–,–,–,2L203X203X25.4X19,2L203X203X25.4X19,152,19500,203,–,–,–,–,–,–,–,–,–,–,–,–,–,74.1,934,518,61.7,169,1350,793,93.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,932,2L8X8X7/8,2L8X8X7/8,–,90.0,26.6,8.00,–,–,–,–,–,–,–,–,–,–,–,–,–,159,50.6,28.0,2.45,300,61.4,37.5,3.36,–,–,–,–,–,–,,,–,–,–,–,–,–,–,2L203X203X22.2,2L203X203X22.2,134,17200,203,–,–,–,–,–,–,–,–,–,–,–,–,–,66.2,829,459,62.2,125,1010,615,85.3,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,933,2L8X8X7/8X3/8,2L8X8X7/8X3/8,–,90.0,26.6,8.00,–,–,–,–,–,–,–,–,–,–,–,–,–,159,50.6,28.0,2.45,326,66.4,39.8,3.50,–,–,–,–,–,–,,,–,–,–,–,–,–,–,2L203X203X22.2X9,2L203X203X22.2X9,134,17200,203,–,–,–,–,–,–,–,–,–,–,–,–,–,66.2,829,459,62.2,136,1090,652,88.9,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,934,2L8X8X7/8X3/4,2L8X8X7/8X3/4,–,90.0,26.6,8.00,–,–,–,–,–,–,–,–,–,–,–,–,–,159,50.6,28.0,2.45,351,71.4,41.9,3.63,–,–,–,–,–,–,,,–,–,–,–,–,–,–,2L203X203X22.2X19,2L203X203X22.2X19,134,17200,203,–,–,–,–,–,–,–,–,–,–,–,–,–,66.2,829,459,62.2,146,1170,687,92.2,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,935,2L8X8X3/4,2L8X8X3/4,–,77.8,23.0,8.00,–,–,–,–,–,–,–,–,–,–,–,–,–,140,44.0,24.4,2.46,257,52.0,32.1,3.34,–,–,–,–,–,–,,,–,–,–,–,–,–,–,2L203X203X19,2L203X203X19,116,14800,203,–,–,–,–,–,–,–,–,–,–,–,–,–,58.3,721,400,62.5,107,852,526,84.8,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,936,2L8X8X3/4X3/8,2L8X8X3/4X3/8,–,77.8,23.0,8.00,–,–,–,–,–,–,–,–,–,–,–,–,–,140,44.0,24.4,2.46,277,56.3,33.8,3.47,–,–,–,–,–,–,,,–,–,–,–,–,–,–,2L203X203X19X9,2L203X203X19X9,116,14800,203,–,–,–,–,–,–,–,–,–,–,–,–,–,58.3,721,400,62.5,115,923,554,88.1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,937,2L8X8X3/4X3/4,2L8X8X3/4X3/4,–,77.8,23.0,8.00,–,–,–,–,–,–,–,–,–,–,–,–,–,140,44.0,24.4,2.46,300,60.6,35.8,3.61,–,–,–,–,–,–,,,–,–,–,–,–,–,–,2L203X203X19X19,2L203X203X19X19,116,14800,203,–,–,–,–,–,–,–,–,–,–,–,–,–,58.3,721,400,62.5,125,993,587,91.7,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,938,2L8X8X5/8,2L8X8X5/8,–,65.4,19.4,8.00,–,–,–,–,–,–,–,–,–,–,–,–,–,119,37.2,20.6,2.48,214,42.8,26.8,3.32,–,–,–,–,–,–,,,–,–,–,–,–,–,–,2L203X203X15.9,2L203X203X15.9,97.4,12500,203,–,–,–,–,–,–,–,–,–,–,–,–,–,49.5,610,338,63.0,89.1,701,439,84.3,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,939,2L8X8X5/8X3/8,2L8X8X5/8X3/8,–,65.4,19.4,8.00,–,–,–,–,–,–,–,–,–,–,–,–,–,119,37.2,20.6,2.48,231,46.5,28.2,3.45,–,–,–,–,–,–,,,–,–,–,–,–,–,–,2L203X203X15.9X9,2L203X203X15.9X9,97.4,12500,203,–,–,–,–,–,–,–,–,–,–,–,–,–,49.5,610,338,63.0,96.1,762,462,87.6,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,940,2L8X8X5/8X3/4,2L8X8X5/8X3/4,–,65.4,19.4,8.00,–,–,–,–,–,–,–,–,–,–,–,–,–,119,37.2,20.6,2.48,249,50.1,29.7,3.58,–,–,–,–,–,–,,,–,–,–,–,–,–,–,2L203X203X15.9X19,2L203X203X15.9X19,97.4,12500,203,–,–,–,–,–,–,–,–,–,–,–,–,–,49.5,610,338,63.0,104,821,487,90.9,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,941,2L8X8X9/16,2L8X8X9/16,–,59.2,17.5,8.00,–,–,–,–,–,–,–,–,–,–,–,–,–,108,33.6,18.7,2.49,192,38.4,24.0,3.31,–,–,–,–,–,–,,,–,–,–,–,–,–,–,2L203X203X14.3,2L203X203X14.3,88.0,11300,203,–,–,–,–,–,–,–,–,–,–,–,–,–,45.0,551,306,63.2,79.9,629,393,84.1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,942,2L8X8X9/16X3/8,2L8X8X9/16X3/8,–,59.2,17.5,8.00,–,–,–,–,–,–,–,–,–,–,–,–,–,108,33.6,18.7,2.49,207,41.7,25.3,3.44,–,–,–,–,–,–,,,–,–,–,–,–,–,–,2L203X203X14.3X9,2L203X203X14.3X9,88.0,11300,203,–,–,–,–,–,–,–,–,–,–,–,–,–,45.0,551,306,63.2,86.2,683,415,87.4,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,943,2L8X8X9/16X3/4,2L8X8X9/16X3/4,–,59.2,17.5,8.00,–,–,–,–,–,–,–,–,–,–,–,–,–,108,33.6,18.7,2.49,223,45.0,26.6,3.57,–,–,–,–,–,–,,,–,–,–,–,–,–,–,2L203X203X14.3X19,2L203X203X14.3X19,88.0,11300,203,–,–,–,–,–,–,–,–,–,–,–,–,–,45.0,551,306,63.2,92.8,737,436,90.7,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,944,2L8X8X1/2,2L8X8X1/2,–,52.8,15.7,8.00,–,–,–,–,–,–,–,–,–,–,–,–,–,97.6,30.2,16.7,2.49,171,34.0,21.4,3.30,–,–,–,–,–,–,,,–,–,–,–,–,–,–,2L203X203X12.7,2L203X203X12.7,78.6,10100,203,–,–,–,–,–,–,–,–,–,–,–,–,–,40.6,495,274,63.2,71.2,557,351,83.8,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,945,2L8X8X1/2X3/8,2L8X8X1/2X3/8,–,52.8,15.7,8.00,–,–,–,–,–,–,–,–,–,–,–,–,–,97.6,30.2,16.7,2.49,185,37.0,22.6,3.43,–,–,–,–,–,–,,,–,–,–,–,–,–,–,2L203X203X12.7X9,2L203X203X12.7X9,78.6,10100,203,–,–,–,–,–,–,–,–,–,–,–,–,–,40.6,495,274,63.2,77.0,606,370,87.1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,946,2L8X8X1/2X3/4,2L8X8X1/2X3/4,–,52.8,15.7,8.00,–,–,–,–,–,–,–,–,–,–,–,–,–,97.6,30.2,16.7,2.49,199,39.9,23.8,3.56,–,–,–,–,–,–,,,–,–,–,–,–,–,–,2L203X203X12.7X19,2L203X203X12.7X19,78.6,10100,203,–,–,–,–,–,–,–,–,–,–,–,–,–,40.6,495,274,63.2,82.8,654,390,90.4,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,947,2L6X6X1,2L6X6X1,–,74.8,22.0,6.00,–,–,–,–,–,–,–,–,–,–,–,–,–,70.8,30.8,17.1,1.79,146,40.9,24.3,2.58,–,–,–,–,–,–,,,–,–,–,–,–,–,–,2L152X152X25.4,2L152X152X25.4,111,14200,152,–,–,–,–,–,–,–,–,–,–,–,–,–,29.5,505,280,45.5,60.8,670,398,65.5,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,948,2L6X6X1X3/8,2L6X6X1X3/8,–,74.8,22.0,6.00,–,–,–,–,–,–,–,–,–,–,–,–,–,70.8,30.8,17.1,1.79,163,45.0,26.3,2.72,–,–,–,–,–,–,,,–,–,–,–,–,–,–,2L152X152X25.4X9,2L152X152X25.4X9,111,14200,152,–,–,–,–,–,–,–,–,–,–,–,–,–,29.5,505,280,45.5,67.8,737,431,69.1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,949,2L6X6X1X3/4,2L6X6X1X3/4,–,74.8,22.0,6.00,–,–,–,–,–,–,–,–,–,–,–,–,–,70.8,30.8,17.1,1.79,180,49.2,28.2,2.86,–,–,–,–,–,–,,,–,–,–,–,–,–,–,2L152X152X25.4X19,2L152X152X25.4X19,111,14200,152,–,–,–,–,–,–,–,–,–,–,–,–,–,29.5,505,280,45.5,74.9,806,462,72.6,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,950,2L6X6X7/8,2L6X6X7/8,–,66.2,19.5,6.00,–,–,–,–,–,–,–,–,–,–,–,–,–,63.8,27.4,15.2,1.81,128,35.3,21.3,2.56,–,–,–,–,–,–,,,–,–,–,–,–,–,–,2L152X152X22.2,2L152X152X22.2,98.6,12600,152,–,–,–,–,–,–,–,–,–,–,–,–,–,26.6,449,249,46.0,53.3,578,349,65.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,951,2L6X6X7/8X3/8,2L6X6X7/8X3/8,–,66.2,19.5,6.00,–,–,–,–,–,–,–,–,–,–,–,–,–,63.8,27.4,15.2,1.81,142,39.0,22.9,2.70,–,–,–,–,–,–,,,–,–,–,–,–,–,–,2L152X152X22.2X9,2L152X152X22.2X9,98.6,12600,152,–,–,–,–,–,–,–,–,–,–,–,–,–,26.6,449,249,46.0,59.1,639,375,68.6,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,952,2L6X6X7/8X3/4,2L6X6X7/8X3/4,–,66.2,19.5,6.00,–,–,–,–,–,–,–,–,–,–,–,–,–,63.8,27.4,15.2,1.81,157,42.6,24.6,2.84,–,–,–,–,–,–,,,–,–,–,–,–,–,–,2L152X152X22.2X19,2L152X152X22.2X19,98.6,12600,152,–,–,–,–,–,–,–,–,–,–,–,–,–,26.6,449,249,46.0,65.3,698,403,72.1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,953,2L6X6X3/4,2L6X6X3/4,–,57.4,16.9,6.00,–,–,–,–,–,–,–,–,–,–,–,–,–,56.2,23.8,13.3,1.82,109,29.9,18.2,2.54,–,–,–,–,–,–,,,–,–,–,–,–,–,–,2L152X152X19,2L152X152X19,85.0,10900,152,–,–,–,–,–,–,–,–,–,–,–,–,–,23.4,390,218,46.2,45.4,490,298,64.5,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,954,2L6X6X3/4X3/8,2L6X6X3/4X3/8,–,57.4,16.9,6.00,–,–,–,–,–,–,–,–,–,–,–,–,–,56.2,23.8,13.3,1.82,120,33.1,19.4,2.67,–,–,–,–,–,–,,,–,–,–,–,–,–,–,2L152X152X19X9,2L152X152X19X9,85.0,10900,152,–,–,–,–,–,–,–,–,–,–,–,–,–,23.4,390,218,46.2,49.9,542,318,67.8,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,955,2L6X6X3/4X3/4,2L6X6X3/4X3/4,–,57.4,16.9,6.00,–,–,–,–,–,–,–,–,–,–,–,–,–,56.2,23.8,13.3,1.82,133,36.3,20.9,2.81,–,–,–,–,–,–,,,–,–,–,–,–,–,–,2L152X152X19X19,2L152X152X19X19,85.0,10900,152,–,–,–,–,–,–,–,–,–,–,–,–,–,23.4,390,218,46.2,55.4,595,342,71.4,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
